PAYER_ID,PAYER_NAME
SB741,Blue Cross Blue Shield of Missouri
SB742,Blue Cross Blue Shield of Missouri (Blue Choice)
SB760,Blue Cross Blue Shield of Nebraska
SB765,Blue Cross Blue Shield of Nevada
SB770,Blue Cross Blue Shield of New Hampshire
SB810,Blue Cross Blue Shield of North Carolina
SB840,Blue Cross Blue Shield of Oklahoma
SB871,Blue Cross Blue Shield of Rhode Island
SX085,Blue Cross Blue Shield of South Carolina - Companion Healthcare
SB880,Blue Cross Blue Shield of South Carolina - Companion Technologies
SX108,Blue Cross Blue Shield of South Carolina - Consolidated Benefits Inc.
SX084,Blue Cross Blue Shield of South Carolina - Federal Employee Program (FEP)
SX104,Blue Cross Blue Shield of South Carolina - Planned Administrators Inc.
SX103,Blue Cross Blue Shield of South Carolina - State Health Plan
SB915,Blue Cross Blue Shield of Vermont
SB612,"Blue Cross of Idaho Health Services, Inc"
SB870,Blue Cross of Rhode Island
SB890,Blue Cross of Tennessee
SB891,Blue Cross of Tennessee
SB892,Blue Cross of Tennessee
15754,Blue Grass Family Health/SRRIPA
94036,Blue Shield of California
61124,Bluegrass Family Health
13337,BMC HealthNet Plan
20018,BMGI - Benefit Management Group Inc.
36609,Boilermakers National Health & Welfare Fund
74238,"Boon-Chapman Benefit Administrators, Inc."
37286,BPA/Benefit Plan Administrators (North Dakota)
13310,BPS Inc.
52192,Bravo Health
37285,Bridgestone Claims Services
68054,Bridgeway Arizona
51037,"Brockerage Concepts, Inc."
35182,Brodart
37314,Broward Health
94316,Brown & Toland Medical Group
TH075,Bryan Independent School
32004,Buckeye Community Health
42150,Butler Benefit
23708,C&O Employees Hospital Association
73071,C. L. Frates & Co - OSMA Health
SMAL0,"Cahaba GBA, Division of BCBS of Alabama"
SMGA0,"Cahaba GBA, Division of BCBS of Alabama"
SMMS0,"Cahaba GBA, Division of BCBS of Alabama"
NCH05,California Eye Care - New Century Health
D9925000,Caloptima
CALOP,Cal-Optima Direct
71057,"Cannon Cochran Management Services, Inc. Metairie, LA"
95399,CAP Management Systems
38245,Cape Health Plan
23045,Capital Blue Cross/CAIC
SX065,Capital District Physician's Health Plan
95112,Capital Health Plan
68011,Capitol Administrators
57116,Care 1st Health Plan of Arizona
77082,Care Improvement Plus
41222,Care To Care
11345,CareCentrix
38269,Carechoices Michigan - Mercy Healthplans
14182,CareCore National
14184,CareCore National - Healthnet
14185,"CareCore National, LLC - Health Net New Jersey"
14179,"CareCore National, LLC (Aetna Radiology Claims)"
14180,"CareCore National, LLC (Oxford Radiology Claims)"
SB690,CareFirst BlueCross BlueShield MD Region
SB580,CareFirst BlueCross BlueShield NCA Region
16147,CareGuide
25139,Carelink Health Plan
25140,Carelink Medicaid
25142,Carenet
93975,"CareOregon, Inc."
NCH04,CarePlus Cardiology - New Century Health
NCH01,CarePlus Dermatology - New Century Health
65031,"CarePlus Health Plans, Inc."
NCH07,CarePlus Oncology - New Century Infusion Solutions
NCH03,CarePlus Urology - New Century Health
31114,CareSource OH
10010,Careworks
62073,Cariten Healthcare
62072,Cariten Senior Health
57105,Carolina Care Plan
SX191,Carolina Crescent Health Plan Inc.
56195,"Carolina Summit Healthcare, Inc."
25125,Carpenter's Health and Welfare Trust Fund of St. Louis
SX183,Catholic Healthcare West
55438,CBCA Administrators
41170,CBCA Administrators (HRM)
41124,CBSA
87065,CDO Technologies
88022,CDS Group Health
HPIPA,Cedars Towers Surgical Medical Group
95166,Cedars-Sinai Medical Network Services
68048,Cenpatico - Arizona
68058,Cenpatico - FL
68050,Cenpatico - Georgia
68052,Cenpatico - Indiana
68047,Cenpatico - Kansas
68051,Cenpatico - OHIO
68059,Cenpatico South Carolina
13357,CenterCare
31118,Central Benefits Life
34097,Central Reserve Life
62218,Central SeniorCare
36215,Central States Health & Welfare Funds
77035,Central Valley Medical Group
48120,Century Health Solutions
23171,CHA Health
84146,CHAMPVA-HAC
16600,"Chautauqua County Healthcare Plan (Mayville, NY)"
25151,CHCcares of South Carolina
59223,Chesapeake Life Insurance Company - Insurance Center
34154,"Chesterfield Resources, Inc."
94321,Children First Medical Group
CSSD2,Childrens Specialist of San Diego
94302,Chinese Community Health Plan
33065,CHOC - Children's Hospital Of Orange County Health Alliance
76049,Choice One/UTMB CHIP Health Plan
61271,Christian Brothers Services
62308,CIGNA
SMID0,CIGNA
SMNC0,CIGNA
SMTN0,CIGNA
SX071,CIGNA Behavioral Health
86033,CIGNA Medicare Advantage
46871,Cincinnati Financial Corporation
TH130,Citrus Health
CVPG1,Citrus Valley Physicians Medical Group
TH107,City of Amarillo
TKFMC,City of Visalia
39141,Claims Management Services
57080,"ClaimsWare, Inc. dba ManageMed"
77201,Clearchoice Health Plan / COIHS
56211,CM Administrators Inc
77052,Coastal Administrative Services
38335,Cofinity
84129,Colorado Access
91162,Columbia United Providers
34181,Commerce Benefits Group
14315,Commonwealth Care Alliance
23282,Community Care BHO
73143,Community Care Managed Health Care Plans of Oklahoma
39126,Community Care Organization
71079,Community Care Plus
38325,Community Choice of Michigan
26231,Community Claims Administration
TH005,Community First
35193,Community Health Alliance
48145,Community Health Choice
75261,Community Health Electronic Claims/CHEC/webTPA
62149,Community Health Network of CT
90010,Community Health Plan
SB613,Community Health Plan Washington
CMGVW,Community Medical Group of West Valley
34177,"Comp - Ohio (Austintown, OH)"
37297,CompBenefits Corporation
95192,CompCare
59314,Comprehensive Behavioral Care
03036,"Comprehensive Benefits Administrator, Inc."
SKNY0,Computer Science Corp.
78375,Connecticare - Medicare
06105,"ConnectiCare, Inc"
37307,Connecticut Carpenters Health Fund
SMCT0,Connecticut Medicare (NGS)
37135,Consociate Group
75284,Consolidated Associates Railroad
71404,Continental General Insurance Company
55544,Conversion Plan-APWU
TH104,Cook Children's Health Group
35149,Cook Group Health Plan
52132,Cooperative Benefit Administrators (CBA)
35199,COOPERATIVE MANAGED CARE SERVICES
58204,Coordinated Medical Specialists
58231,Core Administrative Services
41045,CoreSource AZ MN
75136,CoreSource Little Rock
35180,CoreSource NC IN
35183,CoreSource OH
35187,CoreSource-Internal
35202,Cornerstone Benefit Adminstrators
56116,"Corporate Benefits Service, Inc. (NC)"
37246,Corporate Systems Administration
43160,Correctional Medical Services
62553,Country Life Insurance Company
58102,"Covenant Administrators, Inc. (Atlanta, GA)"
TH108,Covenant Management Systems
25133,Coventry Health & Life (Oklahoma)
25141,Coventry Health and Life Insurance (Tennessee)
25149,Coventry Health Care - Nevada
87043,Coventry Health Care National Network (f.k.a. First Health Direct)
25130,"Coventry Health Care of Delaware, Inc."
25127,"Coventry Health Care of Georgia, Inc."
25132,"Coventry Health Care of Iowa, Inc."
25135,"Coventry Health Care of Louisiana, Inc."
25136,"Coventry Health Care of Nebraska, Inc."
64068,Creative Medical Systems
37320,Creative Plan Administrators
37266,Croy-Hall Mgmt. Inc.
AMM03,Custody Medical Services
39170,Custom Benefit Administrators
82056,Custom Design Benefits Inc.
06172,Dart Management Corporation
TH073,Dart Management Corporation
33066,Davita Health
95748,"DC Chartered Health Plan, Inc. (Medicaid & Alliance)"
39113,Dean Health Plan
64159,Definity Health
27009,"Delaware Physicians Care, Inc."
94235,Delta Health Systems
84134,Denver Health - Indigent
84133,Denver Health and Hospital Authority
84135,Denver Health Medical Plan
84131,"Denver Health Medical Plan, Inc. - Medicare Choice"
SKMD0,Department of Health and Mental Hygiene
SKMN0,Dept. of Human Services
SKOH0,Dept. of Human Services
SKSD0,Dept. of Human Services
SX105,Deseret Mutual
EMP01,Desert Family Practice Association
DESRT,Desert Medical Group
36436,Destiny Health
56240,Detroit Medical Center
25131,Diamond Plan
23706,Directors Guild of America - Producer Health Plan
06102,Diversified  Administration Corporation
SDMEA,DME Region A (DMERC A) - NHIC
SDMEC,DME Region C (DMERC C)
SDMED,DME Region D (DMERC D)
74284,DRISCOLL CHILDREN'S HEALTH PLAN
35186,"Dunn and Associates Benefits Administrators, Inc."
TH084,Early Intervention Central
66122,Eastland Medical Group
EMG11,Eastland Medical Group
31074,EBMC
SX182,EBMS
34166,EBS OF OHIO
SKAL0,EDS
SKAR0,EDS
SKCT0,EDS
SKDE0,EDS
SKID0,EDS
SKIN0,EDS
SKKS0,EDS
SKKY0,EDS
SKMA0,EDS
SKNC0,EDS
SKNH0,EDS
SKOK0,EDS
SKPA0,EDS
SKRI0,EDS
SKVT0,EDS
SKWI0,EDS
SKCA0,EDS - Medi-Cal
SX110,Educators Mutual (EMIA)
TH090,El Paso First - Chip
31625,"ElderPlan, Inc."
36399,"Elmcare, LLC"
37253,Elmco
34167,"Emerald Health Network, Inc. (All PPO Business)"
59299,EMI-KP Ambulance Claims
SB803,Empire Blue Cross and Blue Shield of New York
38241,"Employee Benefit Concepts (Farmington Hills, MI)"
37215,Employee Benefit Corporation
37216,"Employee Benefit Services (Ft. Mill, SC)"
41198,"Employee Benefit Services of Louisiana, Inc (EBS)"
TH109,Employee Benefit Services of San Antonio
22262,Employee Benefits Administration and Management Corp.
75184,Employee Claim ADJ
35112,"Employee Plans, LLC"
74212,Employer Plan Services
75232,Employers Direct Health
75236,Employer's Direct Health - Employee Plan
75235,Employer's Direct Health - FI
75233,Employer's Direct Health - SF
20508,"Employers Health Network, LLC"
39026,Employers Insurance of Wausau
59298,"Employers Mutual, Inc (Jacksonville, Florida)"
59331,"Employers Mutual, Inc. (Stuart, Florida)"
35206,Encircle PPO
37110,Encompass
36878,Entrust
73126,"Equitable Plan Services (Oklahoma City, OK)"
23250,Erin Group Administrators
TH110,ERISA
34108,ES Beveridge and Associates
20818,ESSENCE HEALTHCARE
34159,"E-V Benefits Management, Inc (Columbus, OH)"
58233,Evergreen Health Plan
59313,"Evolutions Healthcare Systems (New Port Richey, FL)"
EXC01,Excel MSO
SB806,Excellus - BCBS Utica Watertown
SB805,Excellus - Blue Cross Blue Shield of Central New York
SB804,Excellus - Blue Cross/Blue Shield Rochester Area
71412,ExclusiCare
95432,Facey Medical Foundation
37300,FACS Group
22254,Fallon Community Health Plan
60995,FAMILY CARE
31472,Family Health Partners - Healthwave of Kansas
43173,Family Health Partners/MC+ Missouri
TH045,Family Health Plan
37289,"FARA Benefit Services, Inc."
14140,Farm Family Life
33033,FCE Benefit Administrators
41041,Federated Mutual Insurance
11315,Fidelis Care New York
77054,Fidelis Secure Care
56196,First Carolina Care
91131,First Choice Health Administrators
14162,First Choice HealthPlans of Connecticut
75138,First Choice of Midwest (PPO)
SMFL0,First Coast Service Options
SMPR0,First Coast Service Options
SMVI0,First Coast Service Options
73159,First Health Network  (f.k.a. CCN Managed Care Inc. & PPO Oklahoma)
SKAK0,First Health Services Corp.
SKNV0,First Health Services Corp.
SKVA0,First Health Services Corp.
23241,First Priority
59276,"First Service Administrators, Inc"
TH003,FirstCare
11244,"Fitzharris & Company, Inc."
59322,Florida Health Care Plan
59321,Florida Hospital Healthcare Systems
48116,Florida Hospital Waterman
59698,"Florida League of Cities, Inc."
65063,Florida NetPass
48117,"FMH Benefit Services, Inc."
87066,"Formax, Inc."
BOONG,FOUNDATION BENEFIT ADMINISTRATORS/CONTRACTOR EMPLOYEE BENEFITS ADMIN
64069,"Fox-Everett, Inc."
SB942,Freedom Blue Medicare Advantage Claims
41212,Freedom Health Plan
23130,Fresenius Medical Care
59204,Fringe Benefits Coordinators
34171,FrontPath Health Coalition
30005,Galveston County Indigent Health Care
SX078,Gateway
60550,Gateway Health Plan - Medicare Assured
25169,Gateway Health Plan Medicaid PA
76028,"Gateway Health Plan of Ohio, Inc."
91741,Gateway Health Plan OH- Medicare Assured
75273,Geisinger Health Plan
MCS01,GEMCare (Golden Empire Managed Care System)
MCS03,Gemcare Health Plan
23212,Gettysburg Health
22937,GHI - Medicare Private Fee for Service
13551,GHI - New York (Group Health Inc.)
25531,GHI HMO
80314,GIC Indemnity Plan
07205,"Gilsbar, Inc."
07689,Global Care Inc.
47083,"GMS, Inc."
37602,Golden Rule Insurance Company
MBA01,Golden State Medical Group
72189,Golden Triangle Physician Alliance/SelectCare of Texas (GTPA)
44054,Government Employees Hospital Association (GEHA)
37234,Grant Physicians Practice Association
95467,Great Lakes Health Plan
80705,Great-West Healthcare
63665,Great-West Healthcare (formerly American General)
36338,Group Administrators Ltd.
48143,Group and Pension Administrators
72153,"Group Benefit Administrators (Hendersonville, TN)"
91051,Group Health Cooperative - WA State
91121,Group Health Cooperative - WA State
39167,Group Health Cooperative of South Central Wisconsin
39168,Group Health Cooperative of South Central Wisconsin
38194,Group Health Managers
37276,"Group Insurance Service Center, Inc."
68046,Group Practice Affiliates
77010,Guardian Healthcare INC. (SC)
64246,Guardian Life Insurance Company of America
37114,H.E.R.E.I.U Welfare Pension Funds
38224,HAP/AHL/Curanet
36406,Harmony Health Plan of Illinois
36405,Harmony Health Plan of Indiana
62061,Harrington Health-Kansas (formerly known as Fiserv Health-Kansas)
04271,Harvard Pilgrim Health Care
99208,Hawaii Management Alliance Association (HMAA)
SB971,Hawaii Medical Service Association (HMSA)
37111,HCH Administration (Illinois)
37329,HCHA Albq-Self Funded
82018,"HCS - Health Claims Service (Boise, ID)"
TH070,HDM Benefit Solutions
90023,HDPC - Premier Healthcare
20257,HDPC/Alliance Physicians
SKIL0,Health & Family Services
77950,Health Alliance Medical Plans
25126,Health America Inc./Health Assurance/Advantra
SKNE0,"Health and Human Services of Lincoln, Nebraska"
42102,Health Care Network of Wisconsin (HCN)
SB621,Health Care Service Corporation/BCBS of IL
62180,Health Choice Generations
62111,Health Cost Solutions
34158,"Health Design Plus (Hudson, OH)"
30946,"Health Future, LLC."
TH049,Health Management Administrators (HMA)
62295,Health Market Care Assured
38309,Health Net of Arizona
95567,Health Net of California and Oregon - Claims
06108,"Health Net of the Northeast, Inc."
SX185,Health Net Pearl
20199,Health Network America
65062,Health Network One
SX030,Health Options of Florida
36368,Health Options of Illinois
62157,"Health Partners - Jackson, TN"
80142,"Health Partners, PA"
20270,"Health Payment Systems, Inc."
83253,Health Plan of Michigan
68035,Health Plan of San Joaquin
44273,Health Plans Inc.
11324,"Health Plus PHSP (Brooklyn, NY)"
20896,Health Services Consulting Group Inc.
37290,Health Services for Children with Special Needs
41150,Health Services Management
SX044,Health Strategies
27008,Health Systems International - ECOH
HCP01,Healthcare Partners
11328,"HealthCare Partners, IPA"
56731,Healthcare Resources NW
73147,Healthcare Solutions Group
25143,Healthcare USA
62179,Healthchoice of AZ
85729,Healthcomp Inc.
80141,Healthfirst Health Plan of New Jersey
75234,"Healthfirst TPA (Tyler, TX)"
96475,Healthlink HMO
90001,Healthlink PPO
SB800,HealthNow - BCBS Northeastern NY
SB801,HealthNow - Blue Cross Blue Shield of Western NY
55204,Healthnow Division
SX009,HealthPartners MN
59140,HealthPlan Services
38216,HealthPlus of Michigan
71063,"HealthSCOPE Benefits, Inc."
HSM01,HealthSmart -Noble Mid Orange
75250,"HealthSmart Preferred Care, Inc."
02041,Healthsource CMHC
68195,Healthsource Provident
71075,"Healthsource, AR (Med) (CIGNA)"
58210,"Healthsource, GA (CIGNA)"
61127,"Healthsource, KY"
01041,"Healthsource, ME"
75255,"Healthsource, N. TX (CIGNA)"
56147,"Healthsource, NC (CIGNA)"
02038,"Healthsource, NH"
31141,"Healthsource, OH"
06119,"Healthsource, SC"
62129,"Healthsource, TN (CIGNA)"
33104,HealthSpring
63092,HealthSpring HMO/HealthSpring Medicare+Choice
36332,"HealthStar, Inc."
58213,Healthways WholeHealth Networks
59230,Heritage Consultants
TH011,Heritage Physician Network
36335,"HFN, Inc."
HDMDG,High Desert Medical Group
33069,High Desert Primary Care
91164,Highline Medical Service Organization - Molina
91161,Highline Medical Service Organization - PSHP
SB865,Highmark Blue Cross & Blue Shield of Pennsylvania
35145,Highmark- Key Family
SMDC0,Highmark Medicare Services
SMDE0,Highmark Medicare Services
SMMD0,Highmark Medicare Services
SMNJ0,Highmark Medicare Services
SMPA0,Highmark Medicare Services
00046,Hill Physicians Medical Group
59347,Hillcrest Benefit Administrators
36385,Hinsdale Physician Healthcare
55247,HIP - Health Insurance Plan of Greater New York
86066,HMA Hawaii
36412,Holy Cross Health Partners
88023,Hometown Health Plan Nevada
22099,Horizon Blue Cross Blue Shield of New Jersey (Horizon BCBSNJ)
22326,Horizon NJ Health
58227,"HPS Paradigm, Inc."
13335,Hudson Health Plan
NCH02,Humana Dermatology - New Century Health
61101,Humana Emphesys
61125,Humana Military - Tricare South
61160,Humana Veterans Healthcare Services
94154,Humboldt-Del Norte Foundation for Medical Care
22175,"I. E. Shaffer (West Trenton, NJ)"
37279,IAA
SX083,IBC Personal Choice
75274,IHG Direct
86069,Illinois Health Solutions
41600,I'Mcare
TH099,IMS Management Services
86070,IMX Easy
40585,INDECS Corporation
TA720,Independence Administrators
MHM01,Independence Medical Group
SX073,Independent Health
35204,Indiana Health Network
35161,Indiana ProHealth Network
35107,"Indiana Teamsters Health Benefits Fund (Indianapolis, IN)"
31053,Individual Health Insurance Companies
SKMO0,InfoCrossings
52196,"Informed, LLC"
36348,Ingalls Provider Group
52212,Injured Workers Insurance Fund
IEHP1,Inland Empire Health Plan
13315,Insurance Design Administrators
15688,"Insurance Management Services (Amarillo, TX)"
88006,"Insurance Management Services (Elko, NV)"
TH012,Insurance Services of Lubbock
SX011,Insurdata/Insurnational
86304,Insurers Administrative Corp.
51020,"Integra Administrative Group (Seaford, DE)"
31127,Integra Group
31129,Integra Group-CHA
74314,Integrant /SelectCare of Texas
68053,Integrated Mental Health Services
37227,InterCare Health Plans Inc.
SX079,Inter-County Health Plan
60280,Interface EAP (IEAP)
23287,Intergroup Services Corporation
48603,International Brotherhood of Boilermakers Employee Health Care Plan(IBBEHC)
16158,"International Educational Exchange Services, Inc. (IEES)"
39182,"INTERNATIONAL FUNDING, LTD"
TH105,International Medical Group
64157,"International Union of  Operating Engineers ~ Local 15, 15A, 15C & 15D"
84137,InterWest Health (Acceptius Gateway payer)
20435,INTGRITAS BENEFIT GROUP
86068,Iowa Health Solutions
SMIA0,Iowa Medicare Part B (WPS)
SX172,IU Medical Group Primary Care
37272,J. Smith Lanier & Co. Administrators
05014,Jackson Memorial Health Plan (FL)
TH033,JI Specialties
41099,John Alden Life Insurance Co.
38310,JOHN MORRELL COMPANY CO. - AHPBA
68036,John Muir Mt. Diablo Health System
52189,Johns Hopkins Healthcare (EHP/PP)
52123,Johns Hopkins Healthcare (USFHP)
43178,Joplin Claims
34136,JP Farley Corporation
94320,Kaiser CSI-California Select for Individuals (formerly known as Kaiser PPO)
91617,Kaiser Foundation Health Plan of Colorado
94135,Kaiser Foundation Health Plan of Northern CA Region
34092,Kaiser Foundation Health Plan of Ohio
94134,Kaiser Foundation Health Plan of Southern CA Region
52095,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc."
93079,Kaiser Foundation of the Northwest
21313,Kaiser Permanente of Georgia
F9413400,Kaiser South
57038,"Kanawha HealthCare Solutions, Inc."
81812,Katy Medical Claims
73100,Kempton Company
77039,Kern Health Systems
37217,"Key Benefit Administrators (Indianapolis, IN)"
35317,KEY GAP
IP082,Key Medical Group
37321,Key Select
SX055,Keystone Health Plan East
